policy,learner_index,mastered,questions,time_seconds,final_mastery
static,1,False,80,6290.2415477388795,0.18660289312543468
static,2,False,80,6020.335341079485,0.39935687177623286
static,3,False,80,6608.929338622371,0.16924019587765965
static,4,False,80,6682.894302768571,0.1960138493266087
static,5,False,80,6491.482072250428,0.1582705643595357
static,6,False,80,5987.08450137237,0.4691986774550848
static,7,False,80,6426.740208034333,0.11487484465070982
static,8,False,80,6772.6362172915,0.14195519142375798
static,9,False,80,6369.907938398305,0.2354720078009886
static,10,False,80,6242.332758078098,0.19760445630453388
static,11,False,80,6621.496851031296,0.25904396107522304
static,12,False,80,6805.309371869351,0.15792632395913922
static,13,False,80,6624.191063276653,0.147324692849783
static,14,False,80,6253.639428487436,0.3320065963309997
static,15,False,80,6469.622639850136,0.2509896349593553
static,16,False,80,6633.230012013927,0.22368545393686
static,17,False,80,6489.392474844574,0.12174790972973165
static,18,False,80,6423.546241016254,0.16140075782496202
static,19,False,80,6598.436697055537,0.25315221281314554
static,20,False,80,6762.515062271999,0.17985948431493856
static,21,False,80,6411.099088491375,0.24880144498910114
static,22,False,80,6450.518600601111,0.2843683587388396
static,23,False,80,6558.104994939572,0.11836160131983979
static,24,False,80,6671.642299452066,0.28052799158212827
static,25,False,80,6574.018480988939,0.17164769895379495
static,26,False,80,6463.409009012804,0.3684325210973862
static,27,False,80,6374.016768532131,0.20200510928459095
static,28,False,80,6601.9855971365605,0.23207629159809542
static,29,False,80,6362.3918319397835,0.27322447816508194
static,30,False,80,6313.123549591497,0.3417519335626366
static,31,False,80,6557.855520003621,0.15407301467884915
static,32,False,80,6663.933723987019,0.26826007163259674
static,33,False,80,6627.490675410467,0.14177116553849978
static,34,False,80,6354.741774410065,0.29005555965582747
static,35,False,80,6468.728880748966,0.167192758530522
static,36,False,80,6732.065403469987,0.14385475283245636
static,37,False,80,6269.132339046707,0.23897267407646033
static,38,False,80,6275.030156586308,0.4199347316269288
static,39,False,80,6597.748675044788,0.13669265494450245
static,40,False,80,6777.82206958303,0.16838229325665474
static,41,False,80,6431.394420145373,0.2656012531460758
static,42,False,80,6302.050310083006,0.2494124056464499
static,43,False,80,6685.1126593189465,0.08782769229362002
static,44,False,80,6657.2487114085525,0.2207490572301137
static,45,False,80,6466.709253625506,0.2565597937684872
static,46,False,80,6223.783173071222,0.47043323320429226
static,47,False,80,6404.704044765223,0.11584127012588703
static,48,False,80,6685.713654006931,0.2593735741158447
static,49,False,80,6306.276585779696,0.1852812992755326
static,50,False,80,6062.7758882109465,0.3210295181478278
static,51,False,80,6385.388598762675,0.24684055745687117
static,52,False,80,6807.031213657513,0.1278343010692951
static,53,False,80,6550.082610367457,0.29620192718563965
static,54,False,80,6377.737376100693,0.352441866315142
static,55,False,80,6336.9332285684895,0.1859720483064774
static,56,False,80,6660.135780724425,0.2724715902515232
static,57,False,80,6541.035651447579,0.22558850089427276
static,58,False,80,5823.022827431625,0.48079680322826907
static,59,False,80,6497.675923380475,0.272690336573482
static,60,False,80,6635.485816856972,0.21218799663973628
static,61,False,80,6572.32639087825,0.1661301584017381
static,62,False,80,6499.487244789215,0.26973471965612106
static,63,False,80,6395.1769387416525,0.28764895329825
static,64,False,80,6664.1237771018905,0.23877659668909576
static,65,False,80,6226.454255930834,0.2028457946204076
static,66,False,80,6472.795751329525,0.229680234817576
static,67,False,80,6509.959620816908,0.15676112295397315
static,68,False,80,6687.596321783064,0.24027256178833434
static,69,False,80,6449.260595976057,0.14422115677453776
static,70,False,80,6375.248247546828,0.46525491689596027
static,71,False,80,6488.626049704761,0.167612849060146
static,72,False,80,6762.952351950888,0.1395861762446103
static,73,False,80,6521.702309481332,0.301672561551011
static,74,False,80,6156.089553787942,0.46220117227700946
static,75,False,80,6516.170314348686,0.22543231795190455
static,76,False,80,6638.044971382229,0.2283296299837632
static,77,False,80,6604.273132612339,0.12929776042214214
static,78,False,80,6481.614139465571,0.3435052579626524
static,79,False,80,6559.080403453823,0.09540484341809785
static,80,False,80,6661.113485063347,0.22191315989723862
static,81,False,80,6429.719454317558,0.18021782976495518
static,82,False,80,6320.646164483954,0.18671368756076406
static,83,False,80,6410.070403965707,0.31178571153009543
static,84,False,80,6666.161906246657,0.16399554519750922
static,85,False,80,6177.997469869297,0.3698078146988537
static,86,False,80,5903.706808534231,0.36294513453335514
static,87,False,80,6521.858241051343,0.21949797531045742
static,88,False,80,6663.583547636559,0.23237934582229336
static,89,False,80,6647.931361390631,0.14687724349800496
static,90,False,80,6399.9600784124295,0.3462401775958825
static,91,False,80,6561.460546708266,0.18956198245428807
static,92,False,80,6705.522439339161,0.22545719652319052
static,93,False,80,6432.6962093895545,0.2699515407460242
static,94,False,80,6192.383648307491,0.2660323980430354
static,95,False,80,6445.319508018181,0.3191463921155796
static,96,False,80,6726.408609050212,0.2737048344181417
static,97,False,80,6314.115895330988,0.22042331642556623
static,98,False,80,6312.033519569139,0.26605163060230264
static,99,False,80,6533.003082971283,0.22378411030423914
static,100,False,80,6609.772216636183,0.23357070077226064
static,101,False,80,6563.365652112359,0.1123925640183028
static,102,False,80,6256.036412027031,0.3892141406213983
static,103,False,80,6453.922682189609,0.31638080561533977
static,104,False,80,6773.542960303701,0.17636984596013636
static,105,False,80,6493.807655617422,0.19918410096664552
static,106,False,80,6470.706821989698,0.3051947340011208
static,107,False,80,6566.9043711838385,0.2043321233021108
static,108,False,80,6681.556015765469,0.20459602388569204
static,109,False,80,6407.35365251811,0.2569228641216691
static,110,False,80,5985.710368466047,0.43135554666864145
static,111,False,80,6365.669494939096,0.3696553145449414
static,112,False,80,6690.298655770813,0.21106710754837307
static,113,False,80,6414.837509409506,0.1767035882463552
static,114,False,80,6350.3973553109,0.29820569221423004
static,115,False,80,6706.797316418095,0.16454387036835366
static,116,False,80,6648.881299260136,0.3274059170006564
static,117,False,80,6381.145967474973,0.18725660188390578
static,118,False,80,6427.84947258409,0.29586800624958787
static,119,False,80,6523.815770147093,0.35626746229854034
static,120,False,80,6659.582608869212,0.2866505357539499
legacy_rule,1,False,80,3968.4005372897623,0.42263318199468336
legacy_rule,2,False,80,4445.328136440075,0.5235608726538276
legacy_rule,3,False,80,3504.129811377492,0.2424109759059902
legacy_rule,4,False,80,3737.3109522921895,0.21148442996243239
legacy_rule,5,False,80,4196.774224405488,0.41903151675681233
legacy_rule,6,False,80,4505.9313620259245,0.4499177277311221
legacy_rule,7,False,80,3344.322449487373,0.1736439494137926
legacy_rule,8,False,80,3762.009918824188,0.17341991788872668
legacy_rule,9,False,80,3763.1298092297993,0.39128159195229045
legacy_rule,10,False,80,3458.6650277921863,0.3947260093002489
legacy_rule,11,False,80,3662.9930358311417,0.34573219701843017
legacy_rule,12,False,80,3751.0905033456493,0.17924013673917932
legacy_rule,13,False,80,3636.000716288866,0.17160025096544954
legacy_rule,14,False,80,4339.981751679934,0.39227178973144744
legacy_rule,15,False,80,4453.030659307186,0.4040971750263848
legacy_rule,16,False,80,3648.6773056376815,0.2525163801376087
legacy_rule,17,False,80,3370.6335225324624,0.4289135110126274
legacy_rule,18,False,80,3878.323286272021,0.4006821302186421
legacy_rule,19,False,80,3543.53148894209,0.31178297023153967
legacy_rule,20,False,80,3700.3634679873385,0.19391114861535858
legacy_rule,21,False,80,3391.6595047979627,0.3362949990767054
legacy_rule,22,False,80,3526.5846278612144,0.35761963497671856
legacy_rule,23,False,80,3613.3439741178604,0.1963050894686243
legacy_rule,24,False,80,3635.8434828230106,0.36990667509097724
legacy_rule,25,False,80,3344.7518594872436,0.21330824862420833
legacy_rule,26,False,80,4607.982872814826,0.407457851845426
legacy_rule,27,False,80,4263.420013802564,0.42683776432615783
legacy_rule,28,False,80,3646.8296148561367,0.26758444789202684
legacy_rule,29,False,80,4165.500726652585,0.4250505442300488
legacy_rule,30,False,80,4301.139000478574,0.40897202772937163
legacy_rule,31,False,80,3532.980313620485,0.18569706969259966
legacy_rule,32,False,80,3762.4183307550493,0.2934168494251663
legacy_rule,33,False,80,4439.090416837979,0.40595422316799434
legacy_rule,34,False,80,3571.6661387761246,0.386361147078158
legacy_rule,35,False,80,3372.4861461323017,0.18314498104575305
legacy_rule,36,False,80,3728.834556683558,0.18301314956453213
legacy_rule,37,False,80,3122.143889316171,0.33555967654907193
legacy_rule,38,False,80,4613.207063560213,0.4818996173331567
legacy_rule,39,False,80,3539.0916998595585,0.18807858348795634
legacy_rule,40,False,80,3802.487741356023,0.1957071724285259
legacy_rule,41,False,80,3845.3670720093733,0.39673505328357067
legacy_rule,42,False,80,4516.998358555043,0.395212662474871
legacy_rule,43,False,80,3591.75582501239,0.12679166604573316
legacy_rule,44,False,80,3650.0723200436005,0.25122622331707917
legacy_rule,45,False,80,3420.5227556391706,0.31981585534721485
legacy_rule,46,False,80,4208.540330030187,0.38693311299537214
legacy_rule,47,False,80,3344.7144062379593,0.14738177138880754
legacy_rule,48,False,80,3777.9378053389246,0.30750047200680525
legacy_rule,49,False,80,3937.863608777436,0.4339579869400267
legacy_rule,50,False,80,4288.100982057569,0.4765810558074266
legacy_rule,51,False,80,4083.900561488851,0.4024779525296557
legacy_rule,52,False,80,3778.1207062018884,0.14672751320579488
legacy_rule,53,False,80,4762.036116713559,0.4041728765482332
legacy_rule,54,False,80,4358.496744783219,0.39902135725680843
legacy_rule,55,False,80,3282.3604097410766,0.22769230322751563
legacy_rule,56,False,80,3649.753648582364,0.33289632477123426
legacy_rule,57,False,80,3540.331935182308,0.29366644668695346
legacy_rule,58,False,80,4220.5440549070745,0.755008110778387
legacy_rule,59,False,80,3433.3477625738,0.36093588480991484
legacy_rule,60,False,80,3720.9597814745557,0.23512143706270178
legacy_rule,61,False,80,3426.69217566793,0.1997976626685391
legacy_rule,62,False,80,4721.909300771039,0.3983099121253244
legacy_rule,63,False,80,4441.627938652757,0.4072164331847498
legacy_rule,64,False,80,3716.3710781092946,0.2942922075463047
legacy_rule,65,False,80,3157.0141954575365,0.40293109120191367
legacy_rule,66,False,80,3410.104830009344,0.3031195734675972
legacy_rule,67,False,80,3426.2875861158036,0.19914890208385905
legacy_rule,68,False,80,3721.8764440834525,0.2616160206683754
legacy_rule,69,False,80,4162.340955912444,0.4163542710146182
legacy_rule,70,False,80,5003.074185848732,0.499686253302359
legacy_rule,71,False,80,3332.9537524935495,0.20595050799308892
legacy_rule,72,False,80,3808.350841027773,0.15880042589927013
legacy_rule,73,False,80,3443.5364795906667,0.3673911078445081
legacy_rule,74,False,80,4651.157203433454,0.578491301750189
legacy_rule,75,False,80,4038.636730237857,0.39397905741664274
legacy_rule,76,False,80,3688.6188291185777,0.2595438954164538
legacy_rule,77,False,80,3583.891951541249,0.15153844629782215
legacy_rule,78,False,80,4627.758596718377,0.4132284066709875
